State,Population,"Violent
crime","Murder and 
NM",Rape ,Rape,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Total,,
Alabama,"4,863,300","25,886",407,"1,916","1,385","4,686","18,877","143,362","34,065","97,574","11,723","339,881",,
Alaska,"741,894","5,966",52,"1,053",757,850,"4,011","24,876","4,053","17,766","3,057","62,441",,
Arizona,"6,931,071","32,583",380,"3,290","2,452","7,055","21,858","206,432","37,736","150,275","18,421","480,482", ,
Arkansas,"2,988,248","16,461",216,"2,143","1,545","2,120","11,982","97,673","23,771","66,747","7,155","229,813",,
California,"39,250,017","174,796","1,930","13,702","10,149","54,789","104,375","1,002,070","188,304","637,010","176,756","2,363,881",,
Colorado,"5,540,545","18,983",204,"3,555","2,619","3,528","11,696","151,850","23,903","108,336","19,611","344,285",,
Connecticut,"3,576,452","8,123",78,763,561,"2,703","4,579","64,664","10,045","47,512","7,107","146,135",,
Delaware,"952,065","4,844",56,308,221,"1,359","3,121","26,334","5,023","19,791","1,520","62,577",,
District of Columbia,"681,170","8,214",139,532,401,"3,480","4,063","32,716","2,361","27,382","2,973","82,261",,
Florida,"20,612,439","88,700","1,111","7,598","5,528","20,175","59,816","553,812","100,325","410,352","43,135","1,290,552",,
Georgia,"10,310,371","40,990",681,"3,509","2,528","12,205","24,595","309,770","63,344","219,625","26,801","704,048",,
Hawaii,"1,428,557","4,417",35,619,447,994,"2,769","42,753","6,017","31,082","5,654","94,787",,
Idaho,"1,683,140","3,876",49,719,529,213,"2,895","29,357","6,318","20,962","2,077","66,995",,
Illinois,"12,801,539","55,854","1,054","4,908","3,635","17,827","32,065","262,306","47,989","194,407","19,910","639,955",,
Indiana,"6,633,053","26,845",439,"2,501","1,851","7,330","16,575","171,759","34,097","122,931","14,731","399,059",,
Iowa,"3,134,693","9,110",71,"1,247",922,"1,148","6,644","65,391","15,030","45,378","4,983","149,924",,
Kansas,"2,907,289","11,060",111,"1,312",971,"1,671","7,966","78,367","14,364","57,066","6,937","179,825",,
Kentucky,"4,436,974","10,308",260,"1,641","1,174","3,369","5,038","97,158","20,834","66,438","9,886","216,106",,
Louisiana,"4,681,666","26,502",554,"1,816","1,328","5,576","18,556","154,386","34,667","109,380","10,339","363,104",,
Maine,"1,331,479","1,648",20,412,300,266,950,"21,912","4,003","17,134",775,"47,420",,
Maryland,"6,016,447","28,400",481,"1,756","1,266","10,289","15,874","137,445","24,692","100,919","11,834","332,956",,
Massachusetts,"6,811,779","25,677",134,"2,128","1,592","5,365","18,050","106,339","19,193","79,088","8,058","265,624",,
Michigan,"9,928,300","45,572",598,"7,125","5,114","7,120","30,729","189,620","39,568","129,876","20,176","475,498",,
Minnesota,"5,519,952","13,394",101,"2,348","1,731","3,728","7,217","117,756","18,606","90,422","8,728","264,031",,
Mississippi,"2,988,726","8,383",238,"1,277",905,"2,397","4,471","82,732","23,354","55,054","4,324","183,135",,
Missouri,"6,093,000","31,644",537,"2,554","1,884","6,570","21,983","170,549","31,710","120,544","18,295","406,270",,
Montana,"1,042,520","3,840",36,578,414,266,"2,960","27,976","3,934","21,299","2,743","64,046",,
Nebraska,"1,907,116","5,550",49,994,738,946,"3,561","43,163","6,444","31,994","4,725","98,164",,
Nevada,"2,940,058","19,936",224,"1,733","1,292","6,340","11,639","76,047","18,850","44,017","13,180","193,258",,
New Hampshire,"1,334,795","2,637",17,582,423,427,"1,611","20,194","2,963","16,360",871,"46,085",,
New Jersey,"8,944,469","21,914",372,"1,453","1,089","8,984","11,105","138,152","25,284","101,540","11,328","321,221",,
New Mexico,"2,081,015","14,619",139,"1,526","1,117","2,737","10,217","81,931","17,281","52,907","11,743","194,217",,
New York,"19,745,289","74,285",630,"6,260","4,569","22,316","45,079","305,181","39,821","250,968","14,392","763,501",,
