State,Population,"Violent
crime","Murder and 
NM",Rape ,Rape,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Total,
Alabama,4863300,25886,407,1916,1385,4686,18877,143362,34065,97574,11723,339881,
Alaska,741894,5966,52,1053,757,850,4011,24876,4053,17766,3057,62441,
Arizona,6931071,32583,380,3290,2452,7055,21858,206432,37736,150275,18421,480482, 
Arkansas,2988248,16461,216,2143,1545,2120,11982,97673,23771,66747,7155,229813,
California,39250017,174796,1930,13702,10149,54789,104375,1002070,188304,637010,176756,2363881,
Colorado,5540545,18983,204,3555,2619,3528,11696,151850,23903,108336,19611,344285,
Connecticut,3576452,8123,78,763,561,2703,4579,64664,10045,47512,7107,146135,
Delaware,952065,4844,56,308,221,1359,3121,26334,5023,19791,1520,62577,
District of Columbia,681170,8214,139,532,401,3480,4063,32716,2361,27382,2973,82261,
Florida,20612439,88700,1111,7598,5528,20175,59816,553812,100325,410352,43135,1290552,
Georgia,10310371,40990,681,3509,2528,12205,24595,309770,63344,219625,26801,704048,
Hawaii,1428557,4417,35,619,447,994,2769,42753,6017,31082,5654,94787,
Idaho,1683140,3876,49,719,529,213,2895,29357,6318,20962,2077,66995,
Illinois,12801539,55854,1054,4908,3635,17827,32065,262306,47989,194407,19910,639955,
Indiana,6633053,26845,439,2501,1851,7330,16575,171759,34097,122931,14731,399059,
Iowa,3134693,9110,71,1247,922,1148,6644,65391,15030,45378,4983,149924,
Kansas,2907289,11060,111,1312,971,1671,7966,78367,14364,57066,6937,179825,
Kentucky,4436974,10308,260,1641,1174,3369,5038,97158,20834,66438,9886,216106,
Louisiana,4681666,26502,554,1816,1328,5576,18556,154386,34667,109380,10339,363104,
Maine,1331479,1648,20,412,300,266,950,21912,4003,17134,775,47420,
Maryland,6016447,28400,481,1756,1266,10289,15874,137445,24692,100919,11834,332956,
Massachusetts,6811779,25677,134,2128,1592,5365,18050,106339,19193,79088,8058,265624,
Michigan,9928300,45572,598,7125,5114,7120,30729,189620,39568,129876,20176,475498,
Minnesota,5519952,13394,101,2348,1731,3728,7217,117756,18606,90422,8728,264031,
Mississippi,2988726,8383,238,1277,905,2397,4471,82732,23354,55054,4324,183135,
Missouri,6093000,31644,537,2554,1884,6570,21983,170549,31710,120544,18295,406270,
Montana,1042520,3840,36,578,414,266,2960,27976,3934,21299,2743,64046,
Nebraska,1907116,5550,49,994,738,946,3561,43163,6444,31994,4725,98164,
Nevada,2940058,19936,224,1733,1292,6340,11639,76047,18850,44017,13180,193258,
New Hampshire,1334795,2637,17,582,423,427,1611,20194,2963,16360,871,46085,
New Jersey,8944469,21914,372,1453,1089,8984,11105,138152,25284,101540,11328,321221,
New Mexico,2081015,14619,139,1526,1117,2737,10217,81931,17281,52907,11743,194217,
New York,19745289,74285,630,6260,4569,22316,45079,305181,39821,250968,14392,763501,
North Carolina,10146788,37769,678,2849,2086,9336,24906,277765,72082,190377,15306,633154,
North Dakota,757952,1903,15,342,256,181,1365,17402,3243,12195,1964,38866,
Ohio,11614373,34877,654,5589,4141,12523,16111,299357,66883,212807,19667,672609,
Oklahoma,3923561,17648,245,2039,1509,3162,12202,117037,29103,75779,12155,270879,
Oregon,4093465,10830,113,1721,1261,2278,6718,121345,16866,91286,13193,265611,
Pennsylvania,12784227,40447,661,4433,3233,12326,23027,222795,35520,174228,13047,529717,
Puerto Rico,3411307,7643,679,169,128,3201,3594,35201,8251,23163,3787,85816,
Rhode Island,1056426,2524,29,442,328,540,1513,20058,3788,14674,1596,45492,
South Carolina,4961119,24896,366,2387,1711,4035,18108,160928,32976,114032,13920,373359,
South Dakota,865454,3621,27,509,379,272,2813,17141,3000,12639,1502,41903,
Tennessee,6651194,42097,486,2714,1991,7813,31084,189835,40312,134404,15119,465855,
Texas,27862596,121042,1478,13367,9858,33317,72880,768947,148740,551151,69056,1789836,
Utah,3051217,7407,72,1520,1116,1541,4274,90058,12836,67834,9388,196046,
Vermont,624594,989,14,178,124,106,691,10602,2103,8217,282,23306,
Virginia,8411808,18302,484,2737,1965,4803,10278,156412,20018,126606,9788,351393,
Washington,7288000,22023,195,3077,2259,5651,13100,254653,49180,173187,32286,555611,
West Virginia,1831102,6557,81,657,468,720,5099,37487,9301,25677,2509,88556,
Wisconsin,5778708,17679,229,1979,1458,4706,10765,111720,19425,82337,9958,260256,
Wyoming,585501,1430,20,205,150,59,1146,11460,1771,8889,800,25930,
